Estado;Sigla;Longitude;Latitude
Acre;AC;-9.49865;-69.629581
Alagoas;AL;-9.521841;-36.039082
Amapá;AM;2.406605;-51.428199
Amazonas;AP;-3.976318;-64.399382
Bahia;BA;-12.197327;-40.191427
Ceará;CE;-4.354732;-39.712723
Distrito Federal;DF;-15.858437;-47.596956
Espírito Santo;ES;-19.768337;-40.3565
Goiás;GO;-16.8529;-51.105
Maranhão;MA;-4.042;-45.107216
Mato Grosso;MT;-13.434091;-55.501919
Mato Grosso do Sul;MS;-20.616023;-55.095124
Minas Gerais;MG;-18.824095;-44.0345
Pará;PA;-4.239015;-52.218322
Paraíba;PB;-6.950165;-35.588089
Paraná;PR;-24.722653;-51.09548
Pernambuco;PE;-8.140122;-37.779227
Piauí;PI;-6.995318;-41.807852
Rio de Janeiro;RJ;-22.7641;-42.1726
Rio Grande do Norte;RN;-5.607038;-36.8261
Rio Grande do Sul;RS;-30.055067;-52.387882
Rondônia;RO;-11.474053;-62.226545
Roraima;RR;2.148823;-61.412437
Santa Catarina;SC;-27.257104;-49.879454
São Paulo;SP;-22.763116;-47.9046
Sergipe;SE;-8.263146;-35.510823
Tocantins;TO;-9.596869;-48.201864
